name,errors
fileIdentifier,METADATA_FILEIDENTIFIER_NOT_FOUND
title,METADATA_TITLE_NOT_FOUND
abstract,METADATA_ABSTRACT_NOT_FOUND
type,METADATA_TYPE_NOT_FOUND
locators,"METADATA_LOCATORS_EMPTY
METADATA_LOCATOR_NAME_NOT_FOUND
METADATA_LOCATOR_PROTOCOL_NOT_FOUND
METADATA_LOCATOR_URL_NOT_FOUND"
identifier,"METADATA_IDENTIFIER_NOT_FOUND

CNIG_METADATA_IDENTIFIER_INVALID"
language,"METADATA_LANGUAGE_NOT_FOUND
METADATA_LANGUAGE_INVALID"
topicCategory,"METADATA_TOPICCATEGORY_NOT_FOUND
METADATA_TOPICCATEGORY_INVALID"
keywords,
extents,"METADATA_EXTENTS_EMPTY
METADATA_EXTENT_INVALID"
referenceSystemIdentifier,
dateOfPublication,"METADATA_DATES_NOT_FOUND
METADATA_DATEOFPUBLICATION_INVALID"
dateOfLastRevision,"METADATA_DATES_NOT_FOUND
METADATA_DATEOFLASTREVISION_INVALID

CNIG_METADATA_DATEOFLASTREVISION_NOT_FOUND"
dateOfCreation,"METADATA_DATES_NOT_FOUND
METADATA_DATEOFCREATION_INVALID"
characterSet,"METADATA_CHARACTERSET_NOT_FOUND
METADATA_CHARACTERSET_INVALID"
contraints,
distributionFormats,"METADATA_DISTRIBUTIONFORMATS_EMPTY
METADATA_DISTRIBUTIONFORMAT_NAME_NOT_FOUND"
spatialRepresentationType,"METADATA_SPATIALREPRESENTATIONTYPE_NOT_FOUND
METADATA_SPATIALREPRESENTATIONTYPE_INVALID"
lineage,METADATA_LINEAGE_NOT_FOUND
spatialResolutions,"METADATA_SPATIALRESOLUTIONS_EMPTY
METADATA_SPATIALRESOLUTION_INVALID_DENOMINATOR
METADATA_SPATIALRESOLUTION_INVALID_DISTANCE"
specifications,"METADATA_SPECIFICATIONS_EMPTY
METADATA_SPECIFICATION_TITLE_NOT_FOUND
METADATA_SPECIFICATION_DATE_NOT_FOUND
METADATA_SPECIFICATION_DATE_INVALID
METADATA_SPECIFICATION_DEGREE_INVALID

CNIG_METADATA_SPECIFICATION_NOT_FOUND"
contact,METADATA_CONTACT_NOT_FOUND
metadataContact,METADATA_METADATACONTACT_NOT_FOUND
metadataDate,"METADATA_METADATADATE_NOT_FOUND
METADATA_METADATADATE_INVALID"
metadataLanguage,"METADATA_METADATALANGUAGE_NOT_FOUND
METADATA_METADATALANGUAGE_INVALID"
