NAME,LEVEL,MESSAGE,DOCUMENTATION
VALIDATOR_INFO,INFO,%1$s,Message d'information générique
VALIDATOR_EXCEPTION,FATAL,La validation a rencontré une erreur grave liée au fonctionnement du validateur.,"Cette erreur correspond à un problème profond dans la validateur (absence d'outil système,  problème dans les configurations,  etc.)"
DIRECTORY_UNEXPECTED_NAME,ERROR,Le nom du dossier contenant le document n'est pas valide.,Cette erreur se produit lorsque le nom du dossier contenant le document ne correspond pas à celui spécifié dans l'expression régulière du DocumentModel
FILE_MISPLACED,WARNING,Le fichier '%1$s' est mal nommé ou mal placé dans l'arborescence du dossier.,"Cette erreur se produit lorsque le nom d'un fichier respecte partiellement le modèle. Le nom du fichier est correct,  mais pas son chemin complet"
FILE_UNEXPECTED,WARNING,Le fichier '%1$s' est mal nommé ou n'est pas prévu dans le standard.,Cette erreur se produit lorsque l'on ne trouve aucun modèle correspondant à un fichier
FILE_MISSING_MANDATORY,ERROR,Le fichier obligatoire '%1$s' est absent du répertoire '%2$s'.,Cette erreur se produit lorsqu'un fichier marqué comme mandatory=ERROR est absent
FILE_MISSING_MANDATORY_DIRECTORY,ERROR,Le répertoire obligatoire '%1$s' est absent du répertoire '%2$s'.,Cette erreur se produit lorsqu'un repertoire marqué comme mandatory=ERROR est absent
FILE_MISSING_RECOMMANDED,WARNING,Le fichier optionnel '%1$s' est absent du répertoire '%2$s'.,Cette erreur se produit lorsqu'un fichier marqué comme mandatory=WARNING est absent
FILE_MISSING_RECOMMANDED_DIRECTORY,WARNING,Le répertoire optionnel '%1$s' est absent du répertoire '%2$s'.,Cette erreur se produit lorsqu'un repertoire marqué comme mandatory=WARNING est absent
FILE_EMPTY,ERROR,La table '%1$s' ne contient pas de données.,"Cette erreur se produit lorsqu'une table (csv,  shp,  etc.) est vide"
